LoanID,ClienteID,FechaDesembolso,ImporteAprobado,Fecha,SaldoContable,difference,abs_difference,mismatch,anomaly,Risk_Mismatch_Score,RiesgoAsignado,PD,LGD,EAD,Provision,CentroCosto,PD_bucket,_merge
L00001,C00861,2025-06-09,90066,2025-11-01,86575,3491,3491,True,False,29.365567134106964,A,0.0449469208614558,0.1871494687580517,97621.24303593294,12870,Barcelona,(3-7%],both
L00002,C03773,2025-11-03,224570,2025-11-01,227505,-2935,2935,True,False,3.1332901949320577,D,0.0062855915022758,0.1698424950192118,237504.40477936703,7498,Sevilla,[0-1%],both
L00003,C03093,2024-03-11,80547,2025-11-01,77810,2737,2737,True,False,42.908642061184345,A,0.0621399477941894,0.2522894494731363,82219.58640752538,10951,Sevilla,(3-7%],both
L00004,C00467,2025-10-25,237265,2025-11-01,239151,-1886,1886,True,False,26.90445306422201,C,0.0441323691174008,0.32324010373767,218433.5929564924,13134,Barcelona,(3-7%],both
L00005,C04427,2025-08-09,251404,2025-11-01,248688,2716,2716,True,False,20.193334330724618,A,0.049643966663188,0.1497655048489426,265994.9872902712,17358,Madrid,(3-7%],both
L00006,C03445,2025-01-10,264708,2025-11-01,262667,2041,2041,True,False,72.92525265772838,B,0.0949481036513044,0.376312498238801,255991.69126181793,17906,Sevilla,(>7%),both
L00007,C03172,2025-12-27,60103,2025-11-01,64951,-4848,4848,True,False,93.70124896043376,A,0.0462504238709678,0.4178948809971844,55936.95612407096,7008,Sevilla,(3-7%],both
L00008,C02920,2025-01-02,222214,2025-11-01,220480,1734,1734,True,False,68.81400962869097,B,0.0798562197698341,0.4969572410831284,243921.8195123906,5498,Barcelona,(>7%),both
L00009,C00131,2024-02-20,46456,2025-11-01,50921,-4465,4465,True,False,10.488211805980699,B,0.0068323436395345,0.3438034927825397,42656.91975550853,14852,Valencia,[0-1%],both
L00010,C01686,2024-05-22,275808,2025-11-01,274326,1482,1482,True,False,19.917609072451906,B,0.0484248562145802,0.2775368537093601,287848.21758248156,6429,Barcelona,(3-7%],both
L00011,C00770,2025-02-22,113384,2025-11-01,114599,-1215,1215,True,False,34.88117689254598,A,0.0590827885908267,0.4859077956645202,110050.0390870049,3474,Madrid,(3-7%],both
L00012,C02392,2025-07-01,111229,2025-11-01,108244,2985,2985,True,False,23.570587854546886,B,0.0122098781430728,0.6467177024499337,118822.51259936646,1496,Barcelona,(1-3%],both
L00013,C02434,2025-05-14,146786,2025-11-01,150895,-4109,4109,True,False,42.93114957270523,A,0.0309210986239925,0.3378947628657611,148174.33655130185,19584,Valencia,(3-7%],both
L00014,C01185,2024-06-15,271456,2025-11-01,275599,-4143,4143,True,False,84.88703905671208,A,0.0742197713783759,0.2760621332794353,292655.96222942055,10366,Sevilla,(>7%),both
L00015,C04556,2024-09-16,111691,2025-11-01,114354,-2663,2663,True,False,27.1405365555536,B,0.0192067588176409,0.530631686114789,112905.53121031947,13455,Sevilla,(1-3%],both
